,in_morning_ave,out_morning_ave,in_evening_ave,out_evening_ave,morning_ior,evening_ior,in_weekday_ave,out_weekday_ave,in_weekend_ave,out_weekend_ave,weekday_ior,weekend_ior,weekday_ave,weekend_ave,weekdayend_r,total_io
忠義,163.86,231.633333333,130.8,138.971428571,-0.171364034792,-0.0302901927558,2876.85714286,3096.9047619,2124.22222222,2180.11111111,-0.0368356862151,-0.0129843310359,2986.88095238,2152.16666667,0.487277613047,164188.0
關渡,670.006666667,974.92,612.928571429,668.628571429,-0.185365912969,-0.0434627517863,13337.0,13749.4285714,9480.22222222,10097.2222222,-0.0152263917091,-0.0315158600884,13543.2142857,9788.72222222,0.482749307442,745012.0
竹圍,760.826666667,367.44,344.261904762,751.133333333,0.348664618294,-0.371438011068,9752.28571429,10061.2380952,8680.22222222,8569.55555556,-0.0155930052586,0.00641554158508,9906.76190476,8624.88888889,0.207516269891,571332.0
紅樹林,608.833333333,434.32,256.533333333,512.404761905,0.167294037949,-0.332759464196,7682.0952381,7385.9047619,6982.22222222,7011.33333333,0.0196569203737,-0.00208032268822,7534.0,6996.77777778,0.110913998639,442370.0
淡水,2331.23333333,1733.68,2007.99047619,2417.68095238,0.147002724125,-0.092571372006,39162.6190476,37654.4285714,45968.0,44626.8888889,0.0196335386862,0.0148033860139,38408.5238095,45297.4444444,-0.246897113024,2428512.0
頂埔,558.62,305.706666667,280.195238095,483.004761905,0.292613132381,-0.265735749226,7034.52380952,6563.0952381,5778.44444444,5414.0,0.0346699352127,0.0325616487313,6798.80952381,5596.22222222,0.291065160516,386282.0
永寧,950.92,514.02,451.476190476,896.00952381,0.298237470477,-0.329898364502,11298.1904762,11823.6666667,10759.0,11111.4444444,-0.0227263834055,-0.0161151020657,11560.9285714,10935.2222222,0.0834417881013,682393.0
土城,637.58,220.46,211.404761905,566.7,0.486131182695,-0.456616198088,6974.80952381,6884.14285714,6349.66666667,6057.77777778,0.00654210103148,0.0235253029095,6929.47619048,6203.72222222,0.16578306642,402705.0
海山,1900.27333333,546.453333333,590.857142857,1856.29047619,0.553318855941,-0.517105434704,20739.8095238,21194.0952381,17424.3333333,16980.0,-0.010833374971,0.0129150397721,20966.952381,17202.1666667,0.295903008104,1190251.0
亞東醫院,1739.43333333,816.546666667,661.966666667,1321.4,0.361069596267,-0.332481807028,21048.4761905,18996.5238095,14775.0,13180.7777778,0.0512411632152,0.0570265737156,20022.5,13977.8888889,0.533341938899,1092547.0
府中,2281.48666667,745.586666667,1204.60952381,2333.56190476,0.507387773889,-0.31907792026,28468.952381,27247.3809524,27113.0,26439.1111111,0.0219248352411,0.0125837968832,27858.1666667,26776.0555556,0.0594194115207,1652012.0
板橋,2467.22,1636.45333333,1957.84761905,2838.04285714,0.202444639031,-0.183531138266,36396.2857143,38853.6190476,37025.3333333,38897.7777778,-0.0326556337993,-0.0246623777272,37624.952381,37961.5555556,-0.0133596530833,2263556.0
新埔,3549.91333333,1167.67333333,1458.91428571,3172.10952381,0.504970055311,-0.369938767011,41847.7619048,38994.0952381,33993.2222222,30746.3333333,0.0352993704935,0.0501530920475,40420.9285714,32369.7777778,0.33182055227,2280335.0
江子翠,2185.25333333,717.006666667,861.761904762,2129.68571429,0.50589770271,-0.423849577526,25028.952381,25528.952381,20537.2222222,20325.4444444,-0.00988965033964,0.00518267149585,25278.952381,20431.3333333,0.318152838373,1429480.0
龍山寺,1974.54,1101.23333333,1268.0952381,1791.80952381,0.283930762128,-0.171153786299,28037.1428571,26595.4761905,27377.6666667,26052.4444444,0.0263883864951,0.0248029097201,27316.3095238,26715.0555556,0.033383607875,1628156.0
西門,2816.44,2947.17333333,4800.65238095,4442.88571429,-0.022682530172,0.0387045158445,65156.7142857,65821.5714286,75326.1111111,77648.6666667,-0.00507608676684,-0.0151826045397,65489.1428571,76487.3888889,-0.232395718429,4127317.0
善導寺,623.326666667,2046.82,1559.8047619,742.885714286,-0.533114285857,0.354767197791,21643.9047619,22956.4761905,15823.7777778,16483.6666667,-0.0294296012846,-0.0204252889771,22300.1904762,16153.7222222,0.479519598084,1227375.0
忠孝新生,922.673333333,2246.50666667,2482.63333333,1324.58571429,-0.417721092943,0.304171523772,31962.1428571,31229.952381,32556.2222222,32279.8888889,0.0115867415605,0.00426202819074,31596.047619,32418.0555556,-0.0385231329852,1910559.0
忠孝敦化,730.126666667,2469.69333333,3299.58571429,1923.13809524,-0.543645163374,0.263549762394,37082.1428571,39316.2380952,35064.1111111,37283.4444444,-0.0292427039715,-0.0306759961175,38199.1904762,36173.7777778,0.0816995507627,2255494.0
國父紀念館,657.46,1596.17333333,1511.07619048,965.366666667,-0.416533301779,0.220360232515,20422.8095238,21879.2857143,17237.6666667,19459.6666667,-0.0344303558081,-0.0605493587182,21151.047619,18348.6666667,0.212840599209,1218620.0
市政府,1433.20666667,4004.77333333,4664.9952381,2516.38095238,-0.472890055989,0.299192554286,55918.1428571,56675.6666667,51987.4444444,52462.1111111,-0.00672793480146,-0.00454445846267,56296.9047619,52224.7777778,0.112570876773,3304516.0
永春,1172.03333333,1056.28666667,1061.83809524,1204.0,0.0519434671262,-0.0627414222846,19961.6666667,19903.952381,14988.4444444,14424.1111111,0.00144772079534,0.0191868174211,19932.8095238,14706.2777778,0.452656130965,1101891.0
後山埤,1159.01333333,699.32,820.704761905,1180.1952381,0.247368609865,-0.17966438912,16941.047619,16945.5238095,14149.2222222,14320.4444444,-0.000132093342215,-0.00601419834756,16943.2857143,14234.8333333,0.260610883243,967845.0
昆陽,814.773333333,959.82,752.752380952,853.323809524,-0.081735158102,-0.0626193384646,14546.2380952,15428.1428571,9429.22222222,9561.11111111,-0.0294219508088,-0.00694505391632,14987.1904762,9495.16666667,0.672977333532,800375.0
南港,758.813333333,694.26,684.333333333,733.980952381,0.0444253788522,-0.0350046668413,12943.0,12180.0952381,9471.33333333,9200.44444444,0.0303666707734,0.0145079323519,12561.547619,9335.88888889,0.441922787947,695631.0
象山,605.18,689.406666667,673.942857143,505.842857143,-0.0650606628628,0.142483501847,11164.7142857,9801.38095238,8876.44444444,8267.88888889,0.0650256195944,0.0354960174726,10483.047619,8572.16666667,0.300843788539,594587.0
台北101世貿,657.473333333,2257.99333333,2321.90952381,1077.94285714,-0.548975578524,0.365888434932,27162.6190476,27532.7619048,28392.4444444,29339.6666667,-0.00676735129544,-0.0164071987667,27347.6904762,28866.0555556,-0.081031697043,1668192.0
信義安和,666.1,1133.32666667,1101.95714286,886.833333333,-0.259653074683,0.108168161553,16159.9047619,17158.0,11793.7777778,12107.0,-0.029956722826,-0.0131051058311,16658.952381,11950.3888889,0.493743995814,914783.0
大安森林公園,373.833333333,512.793333333,514.50952381,356.828571429,-0.156728874987,0.180964143818,7508.61904762,7149.04761905,9896.77777778,9982.55555556,0.024531287056,-0.00431492225315,7328.83333333,9939.66666667,-0.45357153198,486725.0
北門,293.713333333,557.746666667,485.933333333,308.733333333,-0.310094817529,0.222986577181,7495.0952381,7750.61904762,5836.22222222,6091.77777778,-0.0167603698151,-0.0214248453685,7622.85714286,5964.0,0.366278336207,427512.0
松江南京,783.813333333,3231.13333333,2765.60952381,1186.68571429,-0.609552306216,0.399495410744,36148.5714286,37653.6666667,18298.3333333,19396.2222222,-0.0203936259515,-0.0291259274107,36901.1190476,18847.2777778,0.971535091478,1889098.0
台北小巨蛋,527.433333333,1911.26666667,1743.32857143,877.847619048,-0.567447137136,0.330188010835,21568.2380952,22628.4285714,15120.5555556,16042.3333333,-0.0239880189198,-0.0295793429507,22098.3333333,15581.4444444,0.518863640385,1208596.0
南京三民,849.826666667,1547.88,1383.44761905,1032.05238095,-0.291133750028,0.145475155494,20600.5714286,21597.7619048,14525.0,15102.0,-0.0236310393663,-0.0194754784487,21099.1666667,14813.5,0.525079359186,1152808.0
松山,1138.61333333,1033.86,1487.14761905,1430.91428571,0.0482184668166,0.0192707814874,21651.6666667,20904.952381,17736.4444444,16866.2222222,0.0175463723958,0.0251489930127,21278.3095238,17301.3333333,0.309254510613,1205113.0
輔大,598.513333333,710.8,596.50952381,799.119047619,-0.0857599657836,-0.145174388055,11969.8095238,12867.952381,8493.33333333,8827.44444444,-0.0361603779192,-0.0192896136304,12418.8809524,8660.38888889,0.534908290248,677480.0
新莊,902.446666667,339.94,429.70952381,997.685714286,0.452762961612,-0.397910946679,10665.5714286,11716.3809524,9814.0,10582.7777778,-0.04694896611,-0.0376911385785,11190.9761905,10198.3888889,0.139216937656,653592.0
頭前庄,377.733333333,186.746666667,220.680952381,306.971428571,0.338340891912,-0.163536599673,5023.76190476,4272.76190476,4194.77777778,3895.44444444,0.0807828835151,0.036999395704,4648.26190476,4045.11111111,0.208141578378,268039.0
先嗇宮,186.973333333,315.393333333,277.442857143,176.60952381,-0.255630017915,0.222074230999,4413.52380952,4139.0952381,2338.66666667,2226.55555556,0.0320870799811,0.0245576459707,4276.30952381,2282.61111111,0.911902364888,220692.0
三重,401.226666667,154.573333333,158.0,348.60952381,0.443780736476,-0.376245441215,4482.04761905,4433.66666667,3996.88888889,3997.22222222,0.00542648079902,-4.16973605571e-05,4457.85714286,3997.05555556,0.163503138497,259177.0
菜寮,831.5,279.733333333,326.4,739.471428571,0.496535381108,-0.387543391725,9641.95238095,9270.42857143,7453.33333333,7131.0,0.019644475778,0.0221013416223,9456.19047619,7292.16666667,0.38762437254,528419.0
台北橋,699.44,226.353333333,380.428571429,801.023809524,0.51100677617,-0.35599846839,8810.61904762,9122.38095238,8262.88888889,8410.33333333,-0.0173848159684,-0.00884318834592,8966.5,8336.61111111,0.109209647591,526652.0
大橋頭,791.926666667,712.586666667,765.828571429,631.633333333,0.052734660599,0.0960278327717,13507.1428571,11512.6666667,11508.0,8987.66666667,0.0797158822723,0.122969082896,12509.9047619,10247.8333333,0.298193707007,709877.0
中山國小,772.233333333,1024.31333333,1050.92857143,935.119047619,-0.140313638759,0.0583115544153,16755.5238095,16815.047619,12243.0,12275.6666667,-0.0017730949159,-0.00133231823373,16785.2857143,12259.3333333,0.46748270723,925650.0
行天宮,971.026666667,2219.74666667,1807.77142857,1093.53333333,-0.39135340231,0.246178238362,26845.952381,28026.952381,19161.8888889,19865.5555556,-0.0215224618621,-0.0180300472317,27436.452381,19513.7222222,0.506242855902,1503578.0
東門,895.026666667,1465.1,1632.73809524,1284.78571429,-0.241543532974,0.119262910492,23337.4285714,23873.0,22724.2222222,23221.3333333,-0.0113443458316,-0.0108195690552,23605.2142857,22972.7777778,0.0407340342457,1404929.0
蘆洲,1258.74,237.6,289.961904762,1065.04285714,0.682425117286,-0.572013452773,12420.1904762,11478.2380952,10716.4444444,9851.44444444,0.0394148250433,0.0420558475725,11949.2142857,10283.9444444,0.224700843656,686978.0
三民高中,1162.21333333,253.76,321.895238095,1125.73333333,0.641575170907,-0.555279241584,12089.1904762,12266.3333333,10320.2222222,10010.3333333,-0.00727321073151,0.0152425194699,12177.7619048,10165.2777778,0.270216249299,694441.0
徐匯中學,1087.44,262.366666667,366.004761905,1102.22857143,0.611252969561,-0.501435155305,11668.1904762,12122.952381,10336.3333333,10323.2222222,-0.0191147565921,0.000634626968419,11895.5714286,10329.7777778,0.211352402555,685550.0
三和國中,1168.6,245.113333333,350.09047619,1062.9047619,0.653234743489,-0.504470409026,12298.3809524,11704.3809524,9939.77777778,9339.77777778,0.0247471521134,0.0311210493557,12001.3809524,9639.77777778,0.327376625815,677574.0
三重國小,1118.18666667,227.913333333,346.857142857,1086.35238095,0.661372359656,-0.515971479264,11701.0952381,11719.9047619,10330.0,10119.1111111,-0.000803105068508,0.0103128633681,11710.5,10224.5555556,0.203228723175,675883.0
迴龍,830.646666667,243.12,243.461904762,738.857142857,0.547164188371,-0.504311953734,8919.76190476,8494.0,7314.11111111,7134.11111111,0.0244497373451,0.0124582801421,8706.88095238,7224.11111111,0.279223635671,495723.0
丹鳳,867.54,174.44,235.019047619,758.2,0.665175915085,-0.526752838294,8928.0952381,8042.28571429,7873.0,7091.22222222,0.0521973859217,0.0522431280536,8485.19047619,7482.11111111,0.188462532557,491056.0
